Id,Date,WeightKg,HeightMeters,WeightPounds,Fat,IsManualReport,LogId
8877689391,4/19/2016 6:39:31 AM,85.3,1.83,188.0543,,False,1461047971000
8877689391,4/20/2016 6:44:54 AM,84.9,1.83,187.1725,,False,1461134694000
8877689391,4/21/2016 6:50:27 AM,84.5,1.83,186.2906,,False,1461221427000
8877689391,4/23/2016 7:22:28 AM,85.5,1.83,188.4952,,False,1461396148000
8877689391,4/24/2016 7:38:05 AM,85.5,1.83,188.4952,,False,1461483485000
8877689391,4/25/2016 6:40:16 AM,85.4,1.83,188.2748,,False,1461566416000
8877689391,4/26/2016 6:50:27 AM,85.1,1.83,187.6134,,False,1461653427000
8877689391,4/27/2016 6:51:05 AM,85.4,1.83,188.2748,,False,1461739865000
8877689391,4/28/2016 6:50:03 AM,85.1,1.83,187.6134,,False,1461826203000
8877689391,4/29/2016 6:49:55 AM,84.9,1.83,187.1725,,False,1461912595000
8877689391,4/30/2016 7:49:03 AM,85.5,1.83,188.4952,,False,1462002543000
8877689391,5/1/2016 8:47:49 AM,85.3,1.83,188.0543,,False,1462092469000
8877689391,5/3/2016 6:49:41 AM,84.9,1.83,187.1725,,False,1462258181000
8877689391,5/4/2016 6:48:22 AM,84.4,1.83,186.0702,,False,1462344502000
8877689391,5/6/2016 6:43:35 AM,85,1.83,187.3929,,False,1462517015000
8877689391,5/8/2016 7:35:53 AM,85.4,1.83,188.2748,,False,1462692953000
8877689391,5/9/2016 6:39:44 AM,85.5,1.83,188.4952,,False,1462775984000
8877689391,5/11/2016 6:51:47 AM,85.4,1.83,188.2748,,False,1462949507000
8877689391,5/12/2016 6:42:53 AM,84,1.83,185.1883,,False,1463035373000
